epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3644,1.22036,4.12533,1.17766,0.00807,0.1585,0.11831,0.08379,1.14203,4.03653,1.08258,6e-05,6e-05,6e-05
2,62.4444,1.08358,3.73491,1.05689,0.01021,0.16503,0.15837,0.12079,0.9589,3.88363,0.94945,0.000128713,0.000128713,0.000128713
3,90.6013,0.9827,3.19952,1.00022,0.01328,0.18301,0.16398,0.12421,0.80793,3.73456,0.88988,0.00019604,0.00019604,0.00019604
4,118.066,0.91427,2.67038,0.94318,0.99829,0.15722,0.31001,0.23916,0.78258,3.40648,0.87745,0.000261981,0.000261981,0.000261981
5,145.635,0.88191,2.209,0.94066,0.99737,0.16503,0.44741,0.3596,0.78455,3.12638,0.88369,0.000326536,0.000326536,0.000326536
6,172.683,0.86185,1.90433,0.94499,0.99724,0.16503,0.57505,0.47248,0.79952,2.88931,0.90364,0.000389705,0.000389705,0.000389705
7,199.624,0.81103,1.54582,0.92736,0.99767,0.16907,0.58703,0.49126,0.78067,2.78256,0.90818,0.000451488,0.000451488,0.000451488
8,226.965,0.83385,1.4211,0.9045,0.99829,0.24249,0.70557,0.57627,0.74873,2.56588,0.91191,0.000511885,0.000511885,0.000511885
9,255.859,0.78514,1.17696,0.91074,0.99824,0.30138,0.74947,0.59939,0.74916,2.44183,0.92026,0.000570896,0.000570896,0.000570896
10,285.591,0.77915,1.00684,0.91676,0.98845,0.42986,0.88081,0.71249,0.72595,2.23203,0.91803,0.000628521,0.000628521,0.000628521
11,312.89,0.77881,0.97399,0.91327,0.94031,0.71161,0.94809,0.76655,0.73445,1.69699,0.9186,0.00068476,0.00068476,0.00068476
12,339.928,0.75341,0.93562,0.888,0.89534,0.84902,0.98215,0.79201,0.71874,1.36433,0.91406,0.000739613,0.000739613,0.000739613
13,367.362,0.72634,0.85552,0.89007,0.91659,0.9363,0.98637,0.80851,0.69078,1.16029,0.90052,0.00079308,0.00079308,0.00079308
14,395.064,0.75142,0.85005,0.90069,0.91659,0.9363,0.98637,0.80851,0.69078,1.16029,0.90052,0.000845161,0.000845161,0.000845161
15,423.025,0.71501,0.79153,0.88049,0.95823,0.94059,0.98889,0.80945,0.69231,1.09044,0.89257,0.0008614,0.0008614,0.0008614
16,450.531,0.69185,0.7644,0.88368,0.95522,0.96806,0.99002,0.81742,0.67217,0.92871,0.88306,0.0008515,0.0008515,0.0008515
17,477.843,0.68598,0.78791,0.88465,0.95594,0.98311,0.99198,0.82679,0.65164,0.77567,0.86977,0.0008416,0.0008416,0.0008416
18,505.645,0.6731,0.7304,0.85766,0.96431,0.97386,0.99173,0.83597,0.63057,0.70949,0.8604,0.0008317,0.0008317,0.0008317
19,532.685,0.68905,0.74309,0.86861,0.99073,0.96478,0.993,0.84096,0.60035,0.68808,0.85294,0.0008218,0.0008218,0.0008218
20,560.194,0.6786,0.71914,0.86401,0.98475,0.98976,0.99349,0.83374,0.62149,0.66778,0.85712,0.0008119,0.0008119,0.0008119
21,587.218,0.65717,0.68784,0.86817,0.99688,0.98232,0.99363,0.82673,0.63737,0.63553,0.86044,0.000802,0.000802,0.000802
